                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  3.844,                 4.0494,                 3.8354,                  3.655,                 5.1432,                 3.7191,                0.00051,                0.05143,                0.00036,                0.00012,                 3.8606,                 4.3177,                 3.8307,                 3.7597,                 5.2229,                 3.8218,               0.007822,               0.007822,               0.007822
                     25,                 3.8947,                 4.1136,                 3.7892,                 3.7081,                 5.1494,                 3.6452,                 0.0008,                 0.0674,                0.00177,                0.00036,                 3.9009,                 4.0558,                 3.7778,                 3.9159,                 5.0502,                  3.669,               0.007723,               0.007723,               0.007723
                     26,                 3.9102,                 3.9378,                 3.7721,                 3.7469,                 4.8314,                 3.5712,                0.00075,                0.05835,                0.00079,                0.00019,                 3.9807,                 4.2328,                 3.6954,                 4.1343,                 4.8677,                 3.5232,               0.007624,               0.007624,               0.007624
                     27,                 3.9372,                 3.9574,                 3.7315,                 3.8803,                 4.7664,                 3.5088,                0.00112,                0.04502,                0.00115,                0.00028,                 4.0963,                 4.5353,                  3.694,                 4.2286,                 4.7593,                 3.5968,               0.007525,               0.007525,               0.007525
                     28,                 3.8997,                 3.8962,                 3.6208,                 3.9481,                 4.5569,                 3.3783,                0.00143,                0.02876,                0.00205,                0.00044,                 4.1392,                 5.0654,                 3.7249,                  4.265,                  5.824,                 4.3103,               0.007426,               0.007426,               0.007426
                     29,                  3.818,                 3.8855,                 3.6304,                 3.9191,                 4.5422,                 3.3412,                0.00174,                 0.0659,                0.00203,                0.00054,                 4.0106,                 3.9663,                 3.5296,                  4.056,                 4.2592,                 3.2434,               0.007327,               0.007327,               0.007327
                     30,                 3.7603,                 3.9171,                 3.5369,                 3.8437,                 4.4071,                  3.118,                 0.0012,                0.05251,                0.00102,                0.00021,                 4.1736,                 4.6291,                 3.7128,                 4.2325,                 5.0918,                 3.3414,               0.007228,               0.007228,               0.007228
                     31,                 3.8724,                 3.8649,                 3.5354,                 3.9157,                  4.227,                  2.944,                0.00139,                0.02796,                0.00091,                0.00021,                 4.2542,                 5.4356,                 3.8758,                   4.41,                 8.3805,                 3.0898,               0.007129,               0.007129,               0.007129
                     32,                 3.7974,                 3.7596,                   3.43,                 3.8396,                 4.1566,                 2.9275,                0.00251,                0.01524,                0.00162,                0.00035,                 4.1675,                 4.7635,                 3.3163,                 4.1813,                 5.2945,                 2.7569,                0.00703,                0.00703,                0.00703
                     33,                 3.8571,                 3.8611,                 3.4104,                  3.988,                 4.1679,                 2.8189,                0.00297,                0.06943,                0.00202,                0.00051,                 3.9335,                 3.8772,                  3.182,                 4.0617,                 4.1982,                 2.5452,               0.006931,               0.006931,               0.006931
                     34,                 3.7781,                 3.7022,                 3.3349,                 3.8666,                 4.0202,                 2.7222,                 0.0041,                 0.0669,                0.00319,                0.00079,                 3.7826,                  3.769,                 3.1941,                 3.9063,                 3.8811,                 2.6375,               0.006832,               0.006832,               0.006832
